,nombre,orden,familia,genus,nombre_comun,conservacion,invasivo,taxonConceptID,nombre2,subgenus,taxonRank
191,Estrilda troglodytes,Passeriformes,Estrildidae,Estrilda,Black-Rumped Waxbill,0,0,2493662.0,,,species
192,Anas strepera,Anseriformes,Anatidae,Anas,Gadwall,0,0,2498151.0,,,species
193,Luscinia svecica,Passeriformes,Muscicapidae,Luscinia,Bluethroat,0,0,4408732.0,,,species
194,Oenanthe leucura,Passeriformes,Muscicapidae,Oenanthe,Black Wheatear,0,0,5231236.0,,,species
195,Sturnus vulgaris,Passeriformes,Sturnidae,Sturnus,European Starling,0,0,9809229.0,,,species
196,Pterocles alchata,Pteroclidiformes,Pteroclididae,Pterocles,Pin-Tailed Sandgrouse,0,0,2480204.0,,,species
197,Circus cyaneus,Accipitriformes,Accipitridae,Circus,Hen Harrier,1,0,2480487.0,,,species
198,Chlidonias hybrida,Charadriiformes,Laridae,Chlidonias,Whiskered Tern,0,0,2481121.0,,,species
199,Limosa limosa,Charadriiformes,Scolopacidae,Limosa,Black-Tailed Godwit,0,0,2481685.0,,,species
200,Tringa glareola,Charadriiformes,Scolopacidae,Tringa,Wood Sandpiper,0,0,2481713.0,,,species
201,Emberiza schoeniclus,Passeriformes,Emberizidae,Emberiza,Reed Bunting,0,0,2491557.0,,,species
202,Sylvia cantillans,Passeriformes,Sylviidae,Sylvia,Subalpine Warbler,0,0,2492950.0,,,species
203,Acrocephalus melanopogon,Passeriformes,Acrocephalidae,Acrocephalus,Moustached Warbler,1,0,2493124.0,,,species
204,Fringilla montifringilla,Passeriformes,Fringillidae,Fringilla,Brambling,0,0,2494441.0,,,species
205,Clamator glandarius,Cuculiformes,Cuculidae,Clamator,Skadegøg,1,0,2496464.0,,,species
206,Aythya fuligula,Anseriformes,Anatidae,Aythya,Tufted Duck,0,0,2498261.0,,,species
207,Aix galericulata,Anseriformes,Anatidae,Aix,Mandarinčiksa,0,0,2498388.0,,,species
208,Gallinula angulata,Gruiformes,Rallidae,Gallinula,Lesser Moorhen,0,0,5228198.0,,,species
209,Lanius collurio,Passeriformes,Laniidae,Lanius,Rødrygget Tornskade,0,0,7745240.0,,,species
210,Sterna hirundo,Charadriiformes,Laridae,Sterna,Common Tern,0,0,9367409.0,,,species
211,Falco columbarius,Falconiformes,Falconidae,Falco,Dværgfalk,1,0,9813242.0,,,species
212,Fulica cristata,Gruiformes,Rallidae,Fulica,Red-Knobbed Coot,0,0,2474381.0,,,species
213,Rallus aquaticus,Gruiformes,Rallidae,Rallus,Water Rail,0,0,2474831.0,,,species
214,Coracias garrulus,Coraciiformes,Coraciidae,Coracias,European Roller,1,0,2475365.0,,,species
215,Dryocopus martius,Piciformes,Picidae,Dryocopus,Sortspætte,1,0,2477872.0,,,species
216,Agapornis roseicollis,,,,Rosy-Faced Lovebird,0,0,2479550.0,,,species
217,Nymphicus hollandicus,Psittaciformes,Psittacidae,Nymphicus,Cockatiel,0,0,2479977.0,,,species
218,Pluvialis squatarola,Charadriiformes,Charadriidae,Pluvialis,Black-Bellied Plover,0,0,2480327.0,,,species
219,Ardeola ralloides,Pelecaniformes,Ardeidae,Ardeola,Squacco Heron,1,0,2480906.0,,,species
220,Falco eleonorae,Falconiformes,Falconidae,Falco,Eleonorafalk,1,0,2481037.0,,,species
221,Chlidonias niger,Charadriiformes,Laridae,Chlidonias,Black Tern,1,0,2481119.0,,,species
222,Gelochelidon nilotica,Charadriiformes,Laridae,Gelochelidon,Gull-Billed Tern,0,0,2481263.0,,,species
223,Calidris ferruginea,Charadriiformes,Scolopacidae,Calidris,Curlew Sandpiper,0,0,2481741.0,,,species
224,Calidris minuta,Charadriiformes,Scolopacidae,Calidris,Little Stint,1,0,2481749.0,,,species
225,Calidris alpina,Charadriiformes,Scolopacidae,Calidris,Bonte Strandloper,1,0,2481759.0,,,species
226,Numenius arquata,Charadriiformes,Scolopacidae,Numenius,Eurasian Curlew,0,0,2481792.0,,,species
227,Lymnocryptes minimus,Charadriiformes,Scolopacidae,Lymnocryptes,Jack Snipe,0,0,2481835.0,,,species
228,Phalacrocorax aristotelis,Suliformes,Phalacrocoracidae,Phalacrocorax,European Shag,0,0,2481861.0,,,species
229,Ciconia nigra,Ciconiiformes,Ciconiidae,Ciconia,Black Stork,1,0,2481909.0,,,species
230,Remiz pendulinus,Passeriformes,Remizidae,Remiz,Eurasian Penduline-Tit,0,0,2487385.0,,,species
231,Emberiza citrinella,Passeriformes,Emberizidae,Emberiza,Yellowhammer,1,0,2491534.0,,,species
232,Sylvia undata,Passeriformes,Sylviidae,Sylvia,Dartford Warbler,0,0,2492949.0,,,species
233,Sylvia conspicillata,Passeriformes,Sylviidae,Sylvia,Spectacled Warbler,0,0,2492959.0,,,species
234,Panurus biarmicus,Passeriformes,Panuridae,Panurus,Bearded Reedling,0,0,2493367.0,,,species
235,Carduelis citrinella,Passeriformes,Fringillidae,Carduelis,Citril Finch,0,0,2494632.0,,,species
236,Asio flammeus,Strigiformes,Strigidae,Asio,Short-Eared Owl,1,0,2497295.0,,,species
237,Anas penelope,Anseriformes,Anatidae,Anas,Eurasian Wigeon,0,0,2498111.0,,,species
238,Anas acuta,Anseriformes,Anatidae,Anas,Biekčavuojaš,0,0,2498112.0,,,species
239,Marmaronetta angustirostris,Anseriformes,Anatidae,Marmaronetta,Marbled Teal,0,0,2498390.0,,,species
240,Erythropygia galactotes,Passeriformes,Muscicapidae,Erythropygia,Rufous-Tailed Scrub Robin,0,0,5788860.0,Cercotrichas galactotes,,species
241,Aquila fasciata,Accipitriformes,Accipitridae,Aquila,Bonelli's Eagle,0,0,5844449.0,,,species
242,Bubo bubo,Strigiformes,Strigidae,Bubo,Eurasian Eagle-Owl,1,0,5959092.0,,,species
243,Phylloscopus sibillatrix,Passeriformes,Phylloscopidae,Phylloscopus,Bliedervillchen,0,0,8128385.0,Phylloscopus sibilatrix,,species
244,Sturnus,Passeriformes,Sturnidae,Sturnus,Estornino,0,0,2489099.0,,,genus
245,Hirundo daurica,Passeriformes,Hirundinidae,Cecropis,Golondrina común,0,0,9717283.0,Cecropis daurica,,species
246,Cethia brachydactyla,,,,Agateador común,0,0,212.0,Aves,,class
247,Falco pelegrinoides,Falconiformes,Falconidae,Falco,Halcón tagarote,1,0,2481058.0,,,species
