,codigo_pais,pais,codigo_CCAA,CCAA,codigo_provincia,provincia
0,724,ESPANA,PV,COMUNIDAD AUTONOMA DEL PAIS VASCO,1,Araba/Alava
1,724,ESPANA,CM,COMUNIDAD AUTONOMA DE CASTILLA-LA MANCHA,2,Albacete
2,724,ESPANA,CV,COMUNIDAD VALENCIANA,3,Alacant/Alicante
3,724,ESPANA,AN,COMUNIDAD AUTONOMA DE ANDALUCIA,4,Almeria
4,724,ESPANA,CL,COMUNIDAD AUTONOMA DE CASTILLA Y LEON,5,Aliva
5,724,ESPANA,EX,COMUNIDAD AUTONOMA DE EXTREMADURA,6,Badajoz
6,724,ESPANA,IB,COMUNIDAD AUTONOMA DE ILLES BALEARS,7,Illes Balears
7,724,ESPANA,CT,COMUNIDAD AUTONOMA DE CATALUNA,8,Barcelona
8,724,ESPANA,CL,COMUNIDAD AUTONOMA DE CASTILLA Y LEON,9,Burgos
9,724,ESPANA,EX,COMUNIDAD AUTONOMA DE EXTREMADURA,10,Caceres
10,724,ESPANA,AN,COMUNIDAD AUTONOMA DE ANDALUCIA,11,Cadiz
11,724,ESPANA,CV,COMUNIDAD VALENCIANA,12,Castellon/Castello
12,724,ESPANA,CM,COMUNIDAD AUTONOMA DE CASTILLA-LA MANCHA,13,Ciudad Real
13,724,ESPANA,AN,COMUNIDAD AUTONOMA DE ANDALUCIA,14,Cordoba
14,724,ESPANA,GA,COMUNIDAD AUTONOMA DE GALICIA,15,A Coruna
15,724,ESPANA,CM,COMUNIDAD AUTONOMA DE CASTILLA-LA MANCHA,16,Cuenca
16,724,ESPANA,CT,COMUNIDAD AUTONOMA DE CATALUNA,17,Girona
17,724,ESPANA,AN,COMUNIDAD AUTONOMA DE ANDALUCIA,18,Granada
18,724,ESPANA,CM,COMUNIDAD AUTONOMA DE CASTILLA-LA MANCHA,19,Guadalajara
19,724,ESPANA,PV,COMUNIDAD AUTONOMA DEL PAIS VASCO,20,Gipuzcua
20,724,ESPANA,AN,COMUNIDAD AUTONOMA DE ANDALUCIA,21,Huelva
21,724,ESPANA,AR,COMUNIDAD AUTONOMA DE ARAGON,22,Huesca
22,724,ESPANA,AN,COMUNIDAD AUTONOMA DE ANDALUCIA,23,Jaen
23,724,ESPANA,CL,COMUNIDAD AUTONOMA DE CASTILLA Y LEON,24,Leon
24,724,ESPANA,CT,COMUNIDAD AUTONOMA DE CATALUNA,25,Lleida
25,724,ESPANA,LR,COMUNIDAD AUTONOMA DE LA RIOJA,26,La Rioja
26,724,ESPANA,GA,COMUNIDAD AUTONOMA DE GALICIA,27,Lugo
27,724,ESPANA,MD,COMUNIDAD DE MADRID,28,Madrid
28,724,ESPANA,AN,COMUNIDAD AUTONOMA DE ANDALUCIA,29,Malaga
29,724,ESPANA,MU,REGION DE MURCIA,30,Murcia
30,724,ESPANA,,COMUNIDAD FORAL DE NAVARRA,31,Navarra
31,724,ESPANA,GA,COMUNIDAD AUTONOMA DE GALICIA,32,Ourense
32,724,ESPANA,AS,PRINCIPADO DE ASTURIAS,33,Asturias
33,724,ESPANA,CL,COMUNIDAD AUTONOMA DE CASTILLA Y LEON,34,Palencia
34,724,ESPANA,IC,COMUNIDAD AUTONOMA DE CANARIAS,35,Las Palmas
35,724,ESPANA,GA,COMUNIDAD AUTONOMA DE GALICIA,36,Pontevedra
36,724,ESPANA,CL,COMUNIDAD AUTONOMA DE CASTILLA Y LEON,37,Salamanca
37,724,ESPANA,IC,COMUNIDAD AUTONOMA DE CANARIAS,38,Santa Cruz de Tenerife
38,724,ESPANA,CN,COMUNIDAD AUTONOMA DE CANTABRIA,39,Cantabria
39,724,ESPANA,CL,COMUNIDAD AUTONOMA DE CASTILLA Y LEON,40,Segovia
40,724,ESPANA,AN,COMUNIDAD AUTONOMA DE ANDALUCIA,41,Sevilla
41,724,ESPANA,CL,COMUNIDAD AUTONOMA DE CASTILLA Y LEON,42,Soria
42,724,ESPANA,CT,COMUNIDAD AUTONOMA DE CATALUNA,43,Tarragona
43,724,ESPANA,AR,COMUNIDAD AUTONOMA DE ARAGON,44,Teruel
44,724,ESPANA,CM,COMUNIDAD AUTONOMA DE CASTILLA-LA MANCHA,45,Toledo
45,724,ESPANA,CV,COMUNIDAD VALENCIANA,46,València/Valencia
46,724,ESPANA,CL,COMUNIDAD AUTONOMA DE CASTILLA Y LEON,47,Valladolid
47,724,ESPANA,PV,COMUNIDAD AUTONOMA DEL PAIS VASCO,48,Bizkaia
48,724,ESPANA,CL,COMUNIDAD AUTONOMA DE CASTILLA Y LEON,49,Zamora
49,724,ESPANA,AR,COMUNIDAD AUTONOMA DE ARAGON,50,Zaragoza
50,724,ESPANA,CE,CIUDAD DE CEUTA,51,Melilla
51,724,ESPANA,ME,CIUDAD DE MELILLA,52,Melilla
