"Species","Species Name","Scientific Name Authorship","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular Name","Conservation","Invasive"
"2481800","Actitis hypoleucos","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Common Sandpiper","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2480876","Egretta garzetta","(Linnaeus, 1766)","species","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Little Egret","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"5231209","Passer hispaniolensis","(Temminck, 1820)","species","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Spanish Sparrow","",""
"2487871","Periparus ater","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Coal Tit","",""
"2481890","Phalacrocorax carbo","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Common Cormorant","",""
"2490255","Anthus spinoletta","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Anthus","Water Pipit","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"5231198","Passer montanus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","ចាបអាស៊ីអឺរ៉ុប","",""
"2481912","Ciconia ciconia","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Ciconiiformes","Ciconiidae","Ciconia","White Stork","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2493012","Cettia cetti","(Temminck, 1820)","species","Animalia","Chordata","Aves","Passeriformes","Cettiidae","Cettia","Cetti's Warbler","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"2479407","Myiopsitta monachus","(Boddaert, 1783)","species","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Myiopsitta","Monk Parakeet","","Catálogo Español de Especies Exóticas Invasoras"
"7341593","Phylloscopus canariensis","(Hartwig, 1886)","species","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Kanarigransanger","",""
"2493660","Estrilda astrild","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Estrildidae","Estrilda","Common Waxbill","",""
"2494303","Serinus canaria","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Serinus","Atlantic Canary","",""
"7660710","Luscinia megarhynchos","C.L.Brehm, 1831","species","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Luscinia","Nightingale","",""
"2475532","Alcedo atthis","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Alcedo","ចចាតក្រឹម","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"7626513","Emberiza cirlus","Linnaeus, 1766","species","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Cirl Bunting","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"8104397","Linaria cannabina","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Linaria","Eurasian Linnet","",""
"9752149","Phasianus colchicus","Linnaeus, 1758","species","Animalia","Chordata","Aves","Galliformes","Phasianidae","Phasianus","Ring-Necked Pheasant","",""
"5229168","Milvus milvus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Milvus","Red Kite","",""
"4408796","Ptyonoprogne rupestris","(Scopoli, 1769)","species","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Ptyonoprogne","Avión Roquero","",""
"2492606","Ficedula hypoleuca","(Pallas, 1764)","species","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","European Pied Flycatcher","",""
"2492942","Sylvia borin","(Boddaert, 1783)","species","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Garden Warbler","",""
"2490669","Galerida cristata","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Galerida","Crested Lark","",""
"5229126","Himantopus himantopus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Black-Winged Stilt","",""
"2480637","Accipiter nisus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Eurasian Sparrowhawk","Listado de Especies Silvestres en Régimen de Protección Especial y Catálogo Español de Especies Amenazadas",""
"5229167","Milvus migrans","(Boddaert, 1783)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Milvus","Black Kite","",""
"2482513","Corvus frugilegus","Linnaeus, 1758","species","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Rook","",""
"2492962","Sylvia melanocephala","(Gmelin, 1789)","species","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sardinian Warbler","",""
"2484916","Sitta europaea","Linnaeus, 1758","species","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Kleiber","",""
"7341585","Phylloscopus ibericus","Ticehurst, 1937","species","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Iberian Chiffchaff","",""
